Category, Price, Energy Star, Name, Source
ENERGY STAR Television,229.99,false,Toshiba - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/3826014.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219093584792&skuId=3826014&st=categoryid$abcat0101001&cp=1&lp=30
ENERGY STAR Television,229.99,true,Toshiba - 32" Class (31-1/2" Diag.) - LED - 720p - 120Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-120hz-hdtv/1467131.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219052237012&skuId=1467131&st=categoryid$abcat0101001&cp=1&lp=31
ENERGY STAR Television,230.98,false,Contex - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/9334041.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219011467770&skuId=9334041&st=categoryid$abcat0101001&cp=1&lp=32
ENERGY STAR Television,232.97,false,TCL - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/1309821549.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1309821549&skuId=1309821549&st=categoryid$abcat0101001&cp=1&lp=33#tab=buyingOptions
ENERGY STAR Television,235.88,true,VIZIO - Refurbished - 32" Class (32" Diag.) - LED-LCD TV - 720p - HDTV,http://www.bestbuy.com/site/refurbished-32-class-32-diag--led-lcd-tv-720p-hdtv/1308298014.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1308298014&skuId=1308298014&st=categoryid$abcat0101001&cp=1&lp=34#tab=buyingOptions
ENERGY STAR Television,239.99,false,VIZIO - E-Series - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/e-series-32-class-31-1-2-diag--led-720p-60hz-hdtv/7393042.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1218842140408&skuId=7393042&st=categoryid$abcat0101001&cp=1&lp=35
ENERGY STAR Television,239.99,false,VIZIO - E-Series - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/e-series-32-class-31-1-2-diag--led-720p-60hz-hdtv/3186249.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219088491868&skuId=3186249&st=categoryid$abcat0101001&cp=1&lp=36
ENERGY STAR Television,241.99,false,ProScan - 32" Class (32" Diag.) - LED-LCD TV - 720p - HDTV,http://www.bestbuy.com/site/32-class-32-diag--led-lcd-tv-720p-hdtv/1308639237.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1308639237&skuId=1308639237&st=categoryid$abcat0101001&cp=1&lp=38#tab=buyingOptions
ENERGY STAR Television,243.47,false,Contex - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/1307722732.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1307722732&skuId=1307722732&st=categoryid$abcat0101001&cp=1&lp=39#tab=buyingOptions
ENERGY STAR Television,247.99,true,VIZIO - 32" Class (32" Diag.) - LED-LCD TV - 720p,http://www.bestbuy.com/site/32-class-32-diag--led-lcd-tv-720p/1309074730.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1309074730&skuId=1309074730&st=categoryid$abcat0101001&cp=1&lp=40#tab=buyingOptions
ENERGY STAR Television,249.79,true,Magnavox - 29" Class (28-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/29-class-28-1-2-diag--led-720p-60hz-hdtv/1307009512.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1307009512&skuId=1307009512&st=categoryid$abcat0101001&cp=1&lp=41#tab=buyingOptions
ENERGY STAR Television,249.99,false,Sansui - Accu - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/accu-32-class-31-1-2-diag--led-720p-60hz-hdtv/5818092.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219165148737&skuId=5818092&st=categoryid$abcat0101001&cp=1&lp=42
ENERGY STAR Television,249.99,true,Coby - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/3611269.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1218420236148&skuId=3611269&st=categoryid$abcat0101001&cp=1&lp=43
ENERGY STAR Television,249.99,false,Panasonic - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/3631007.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219092581664&skuId=3631007&st=categoryid$abcat0101001&cp=1&lp=44
ENERGY STAR Television,249.99,true,LG - 28" Class (27-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/28-class-27-1-2-diag--led-720p-60hz-hdtv/1584755.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219056356169&skuId=1584755&st=categoryid$abcat0101001&cp=1&lp=45
ENERGY STAR Television,249.99,true,Sharp - 32" Class (31-1/2" Diag.) - LED - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-1080p-60hz-hdtv/8976061.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1218960135417&skuId=8976061&st=categoryid$abcat0101001&cp=1&lp=47
ENERGY STAR Television,249.99,true,VIZIO - E-Series - 29" Class (29" Diag.) - LED - 720p - 60Hz - Smart - HDTV,http://www.bestbuy.com/site/e-series-29-class-29-diag--led-720p-60hz-smart-hdtv/8294042.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1218868676958&skuId=8294042&st=categoryid$abcat0101001&cp=1&lp=48
ENERGY STAR Television,253.79,false,ProScan - 28" Class (28" Diag.) - LED-LCD TV - 720p - HDTV,http://www.bestbuy.com/site/28-class-28-diag--led-lcd-tv-720p-hdtv/1308717379.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1308717379&skuId=1308717379&st=categoryid$abcat0101001&cp=1&lp=49#tab=buyingOptions
ENERGY STAR Television,255.42,false,GPX - 32" Class (32" Diag.) - LED-LCD TV - HDTV,http://www.bestbuy.com/site/32-class-32-diag--led-lcd-tv-hdtv/1310483828.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1310483828&skuId=1310483828&st=categoryid$abcat0101001&cp=1&lp=50#tab=buyingOptions
ENERGY STAR Television,259.99,false,Toshiba - 32" Class (31-1/2" Diag.) - LED - 1080p - 120Hz - HDTV - Gun Metal,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-1080p-120hz-hdtv/4829008.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1219103680791&skuId=4829008&st=categoryid$abcat0101001&cp=2&lp=1
ENERGY STAR Television,259.99,false,Samsung - 28" Class (27-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/28-class-27-1-2-diag--led-720p-60hz-hdtv/3484028.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1219091716707&skuId=3484028&st=categoryid$abcat0101001&cp=2&lp=2
ENERGY STAR Television,260.99,true,Philips - 4000 Series - 29" Class (28-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/4000-series-29-class-28-1-2-diag--led-720p-60hz-hdtv/1307135822.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=mp1307135822&skuId=1307135822&st=categoryid$abcat0101001&cp=2&lp=3#tab=buyingOptions
ENERGY STAR Television,268.99,false,Philips - 29" Class (29" Diag.) - LED-LCD TV - 720p - HDTV,http://www.bestbuy.com/site/29-class-29-diag--led-lcd-tv-720p-hdtv/1307135860.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=mp1307135860&skuId=1307135860&st=categoryid$abcat0101001&cp=2&lp=4#tab=buyingOptions
ENERGY STAR Television,269.99,true,Samsung - 29" Class (28-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/29-class-28-1-2-diag--led-720p-60hz-hdtv/8361071.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1218874429562&skuId=8361071&st=categoryid$abcat0101001&cp=2&lp=5
ENERGY STAR Television,269.99,true,Insignia™ - 39" Class (38-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/39-class-38-1-2-diag--led-720p-60hz-hdtv/2125035.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1219068846563&skuId=2125035&st=categoryid$abcat0101001&cp=2&lp=6
